,Experiment,Formula,Runtime,StD
0,term-loop-nd.c,<> [] AP(x >= -1),3.34,0.06633249580710805
1,term-loop-nd.c,[] <> AP(x >= -1),3.21,0.0299999999999999
2,term-loop-nd.c,AP(x < -1) ==> [] AP(x < -1 || x > 1),0.12000000000000002,0.04
3,term-loop-nd.c,AP(x > 1) ==> <> AP(x >= -1 && x <= 1),0.14000000000000004,0.04898979485566357
4,term-loop-nd-2.c,<> [] AP(x > 0),0.2,0.0
5,term-loop-nd-2.c,[] <> AP(x > 0),0.21000000000000002,0.029999999999999992
6,term-loop-nd-2.c,AP(x < 0) ==> !<> AP(x <= 0),0.11000000000000001,0.030000000000000002
7,term-loop-nd-2.c,AP(x > 0) ==> <> AP(x <= 0),0.12000000000000002,0.04
8,term-loop-nd-y.c,AP(x < y) ==> [] <> AP(x <= 0),0.19,0.03
9,term-loop-nd-y.c,[] <> AP(x <= 0),0.71,0.053851648071345064
10,term-loop-nd-y.c,AP(x < y) ==> <> AP(x <= 0),0.14000000000000004,0.04898979485566357
11,term-loop-nd-y.c,AP(x > 0) ==> <> AP(x <= 0),0.13000000000000003,0.045825756949558406
12,quadratic-nd.c,<> AP(x < 0 || x > 1000),0.9100000000000001,0.06999999999999999
13,quadratic-nd.c,AP(x > 1) ==> <> AP(x < 0 || x > 1000),0.11000000000000001,0.03
14,quadratic-nd.c,AP(x > 1) ==> <> [] AP(x < 0 || x > 1000),0.12000000000000002,0.04
15,cubic-nd.c,<> AP(x < 0 || x > 1000),0.7,0.07745966692414837
16,cubic-nd.c,AP(x > 1) ==> <> AP(x < 0 || x > 1000),0.1,0.0
17,cubic-nd.c,AP(x > 1) ==> <> [] AP(x < 0 || x > 1000),0.11000000000000001,0.03
18,nlr-cond-nd.c,<> AP(x * x * x > 10000),4.34,0.04898979485566383
19,nlr-cond-nd.c,[] (AP(x * x * x <= 10000)),0.5,0.0
20,nlr-cond-nd.c,AP(x > 1) ==> <> [] AP(x * x * x > 10000),0.15000000000000002,0.05
21,P1.c,AP(r < a) ==> <> [] AP(r < a),0.21000000000000002,0.029999999999999992
22,P1.c,[] <> AP(n > 0),3.1,0.15491933384829668
23,P1.c,[] AP(n >= 0),0.59,0.029999999999999992
24,P1.c,<> AP(a == 1),0.6499999999999998,0.04999999999999999
25,P2.c,AP(r < a) ==> <> [] AP(r < a),0.2,0.0
26,P2.c,[] <> AP(n > 0),3.0,0.12649110640673528
27,P2.c,[] AP(n >= 0),0.59,0.029999999999999992
28,P2.c,<> AP(a == 1),0.6499999999999999,0.04999999999999999
29,P3.c,AP(r < a) ==> <> [] AP(r < a),0.2,0.0
30,P3.c,[] <> AP(n > 0),0.2,0.0
31,P3.c,[] (AP(a == 1) ==> <> AP(r == 1)),0.72,0.06000000000000003
32,P3.c,<> AP(a == 1),0.6399999999999999,0.04898979485566355
33,P4.c,AP(r < a) ==> <> [] AP(r < a),0.2,0.0
34,P4.c,[] <> AP(n > 0),34.7,0.5099019513592781
35,P4.c,[] (AP(a == 1) ==> <> AP(r == 1)),0.8,0.0447213595499958
36,P4.c,<> AP(n == 1),0.5999999999999999,0.04472135954999579
37,P5.c,[] (AP(s == 1) ==> <> AP(u == 1)),1.31,0.053851648071345015
38,P5.c,AP(p < i) ==> <> [] AP(u == 1),0.6599999999999999,0.04898979485566356
39,P5.c,[] <> AP(u == 1),1.19,0.053851648071345015
40,P5.c,<> AP(s == 1 && u == 1),1.9199999999999995,0.040000000000000036
41,P6.c,[] (AP(s == 1) ==> <> AP(u == 1)),0.97,0.0640312423743285
42,P6.c,AP(p < i) ==> <> [] AP(u == 1),0.5,0.0
43,P6.c,[] <> AP(u == 1),0.8800000000000001,0.059999999999999984
44,P6.c,<> AP(s == 1 && u == 1),1.01,0.053851648071345064
45,P7.c,[] (AP(s == 1) ==> <> AP(u == 1)),0.97,0.0640312423743285
46,P7.c,AP(p < i) ==> <> [] AP(u == 1),0.5,0.0
47,P7.c,[] <> AP(u == 1),0.9199999999999999,0.039999999999999994
48,P7.c,<> AP(s == 1 && u == 1),1.0,0.0447213595499958
49,P17.c,<> [] AP(x >= 1),6.44,0.2244994432064364
50,P17.c,[] <> AP(x >= 1),2.92,0.07483314773547889
51,P17.c,<> AP(x >= 1),0.48,0.0748331477354788
52,P19.c,<> [] AP(x >= 1),5.369999999999999,0.07810249675906666
53,P19.c,[] <> AP(x >= 1),3.8899999999999997,0.05385164807134509
54,P19.c,<> AP(x >= 1),0.59,0.029999999999999992
55,P20.c,<> [] AP(x >= 1),0.15000000000000002,0.05
56,P20.c,[] <> AP(x >= 1),0.18,0.04
57,P20.c,AP(x <= 1) ==> [] AP(x <= 1),0.0,0.0
58,P20.c,<> AP(x >= 1),0.0,0.0
59,P21.c,[] <> AP(w == 5),0.71,0.030000000000000023
60,P21.c,[] <> AP(w != 1),0.27,0.04582575694955839
61,P25.c,<> [] AP (r > 5),0.9800000000000001,0.06000000000000001
62,P25.c,[] <> AP (r >= 5),0.39,0.03000000000000001
63,P25.c,[] AP (c > 5),0.33999999999999997,0.04898979485566358
64,P25.c,<> AP (c < 5),0.2,0.0
